Distance;Moving Time;Elevation Gain;Time;Month;Day;Bike Type
6,1;1603;13,47;17:41:52;8;28;
65,62;10386;949,0;07:59:20;6;19;
40,27;11608;494,11;07:48:38;8;10;mtb
3,23;748;21,0;15:59:51;8;8;race bike
35,4;6102;157,0;15:38:15;8;21;trecking bike
65,38;10472;937,0;09:18:58;4;13;race bike
52,38;7736;721,0;14:07:11;9;5;race bike
25,5;3457;160,0;15:51:15;9;18;race bike
35,07;5255;116,0;04:43:51;9;13;trecking bike
44,24;6881;585,0;14:37:17;7;11;race bike
36,13;5459;138,0;15:26:58;10;17;trecking bike
36,51;7508;223,0;08:26:52;6;20;mtb
4,09;933;48,2;12:13:56;1;24;trecking bike
42,39;6424;616,0;11:41:58;2;3;race bike
57,92;7915;554,0;10:35:01;6;13;race bike
35,44;5873;153,0;16:42:52;7;22;trecking bike
14,09;3387;119,0;09:56:11;8;9;trecking bike
35,11;5738;144,0;17:00:03;8;21;trecking bike
30,71;4454;555,0;13:43:02;11;10;race bike
31,11;4763;272,0;15:42:16;7;31;race bike
35,27;4771;112,37;17:08:38;7;4;
34,82;5130;72,63;04:41:23;6;8;
28,3;4150;529,0;09:52:54;10;7;race bike
12,39;2903;227,0;12:28:44;1;24;mtb
106,12;15746;1260,0;09:04:24;3;27;race bike
33,41;5818;56,31;05:37:35;5;18;
35,64;5291;140,0;06:01:55;7;7;race bike
34,71;5412;157,0;16:41:43;5;17;trecking bike
36,39;5178;440,0;14:08:04;10;20;race bike
35,78;5716;150,0;16:11:35;9;23;trecking bike
30,32;4594;477,0;06:10:37;8;9;race bike
2,04;434;11,64;17:18:56;4;30;
49,05;7442;615,0;13:49:50;2;6;race bike
33,25;4696;210,0;14:32:37;2;20;race bike
41,89;6249;605,0;10:34:40;9;21;race bike
33,34;5096;516,0;10:40:24;5;10;race bike
40,4;6886;543,0;12:48:43;3;5;race bike
18,04;4372;386,0;15:07:24;10;7;mtb
19,6;2886;244,0;15:02:11;1;21;
114,48;15575;1008,0;08:04:58;4;9;race bike
34,62;5207;134,0;05:11:02;7;13;trecking bike
36,7;5485;140,0;16:59:04;7;16;trecking bike
44,09;6810;379,0;10:45:24;1;14;race bike
42,67;6627;316,0;12:29:39;1;8;race bike
35,44;5721;147,0;16:16:19;8;2;
56,1;8967;277,0;07:01:44;5;8;race bike
36,57;5170;294,0;15:08:40;9;12;
35,13;5150;112,49;15:32:58;7;6;
38,6;6010;134,0;04:30:53;6;14;trecking bike
56,73;8454;608,0;09:54:37;9;3;race bike
